drug,creationDate,type,status
DB00172,2005-06-13,small molecule,approved
DB00173,2005-06-13,small molecule,approved
DB00174,2005-06-13,small molecule,approved
DB00175,2005-06-13,small molecule,approved
DB00176,2005-06-13,small molecule,approved
DB00177,2005-06-13,small molecule,approved
DB00178,2005-06-13,small molecule,approved
DB00179,2005-06-13,small molecule,approved
DB00180,2005-06-13,small molecule,approved
DB00181,2005-06-13,small molecule,approved
DB00182,2005-06-13,small molecule,approved
DB00183,2005-06-13,small molecule,approved
DB00184,2005-06-13,small molecule,approved
DB00185,2005-06-13,small molecule,approved
DB00186,2005-06-13,small molecule,approved
DB00187,2005-06-13,small molecule,approved
DB00188,2005-06-13,small molecule,approved
DB00189,2005-06-13,small molecule,withdrawn
DB00190,2005-06-13,small molecule,approved
DB00191,2005-06-13,small molecule,approved
DB00192,2005-06-13,small molecule,approved
DB00193,2005-06-13,small molecule,approved
DB00194,2005-06-13,small molecule,approved
DB00195,2005-06-13,small molecule,approved
DB00196,2005-06-13,small molecule,approved
DB00197,2005-06-13,small molecule,withdrawn
DB00198,2005-06-13,small molecule,approved
DB00199,2005-06-13,small molecule,approved
DB00200,2005-06-13,small molecule,approved
DB00201,2005-06-13,small molecule,approved
DB00202,2005-06-13,small molecule,approved
DB00203,2005-06-13,small molecule,approved
DB00204,2005-06-13,small molecule,approved
DB00205,2005-06-13,small molecule,approved
DB00206,2005-06-13,small molecule,approved
DB00207,2005-06-13,small molecule,approved
DB00208,2005-06-13,small molecule,approved
DB00209,2005-06-13,small molecule,approved
DB00210,2005-06-13,small molecule,approved
DB00211,2005-06-13,small molecule,approved
DB00212,2005-06-13,small molecule,approved
DB00213,2005-06-13,small molecule,approved
DB00214,2005-06-13,small molecule,approved
DB00215,2005-06-13,small molecule,approved
DB00216,2005-06-13,small molecule,approved
DB00217,2005-06-13,small molecule,approved
DB00218,2005-06-13,small molecule,approved
DB00219,2005-06-13,small molecule,approved
DB00220,2005-06-13,small molecule,approved
DB00221,2005-06-13,small molecule,approved
DB00222,2005-06-13,small molecule,approved
DB00223,2005-06-13,small molecule,approved
DB00224,2005-06-13,small molecule,approved
DB00225,2005-06-13,small molecule,approved
DB00226,2005-06-13,small molecule,approved
DB00227,2005-06-13,small molecule,approved
DB00228,2005-06-13,small molecule,approved
DB00229,2005-06-13,small molecule,approved
DB00230,2005-06-13,small molecule,approved
DB00231,2005-06-13,small molecule,approved
DB00232,2005-06-13,small molecule,approved
DB00233,2005-06-13,small molecule,approved
DB00234,2005-06-13,small molecule,approved
DB00235,2005-06-13,small molecule,approved
DB00236,2005-06-13,small molecule,approved
DB00237,2005-06-13,small molecule,approved
DB00238,2005-06-13,small molecule,approved
DB00239,2005-06-13,small molecule,approved
DB00240,2005-06-13,small molecule,approved
DB00241,2005-06-13,small molecule,approved
DB00242,2005-06-13,small molecule,approved
DB00243,2005-06-13,small molecule,approved
DB00244,2005-06-13,small molecule,approved
DB00245,2005-06-13,small molecule,approved
DB00246,2005-06-13,small molecule,approved
DB00247,2005-06-13,small molecule,approved
DB00248,2005-06-13,small molecule,approved
DB00249,2005-06-13,small molecule,approved
DB00250,2005-06-13,small molecule,approved
