drug,creationDate,type,status
DB03267,2005-06-13,small molecule,experimental
DB03268,2005-06-13,small molecule,experimental
DB03269,2005-06-13,small molecule,experimental
DB03270,2005-06-13,small molecule,experimental
DB03272,2005-06-13,small molecule,experimental
DB03273,2005-06-13,small molecule,experimental
DB03274,2005-06-13,small molecule,experimental
DB03275,2005-06-13,small molecule,experimental
DB03276,2005-06-13,small molecule,experimental
DB03277,2005-06-13,small molecule,experimental
DB03278,2005-06-13,small molecule,experimental
DB03279,2005-06-13,small molecule,experimental
DB03280,2005-06-13,small molecule,experimental
DB03281,2005-06-13,small molecule,experimental
DB03283,2005-06-13,small molecule,experimental
DB03284,2005-06-13,small molecule,experimental
DB03285,2005-06-13,small molecule,experimental
DB03286,2005-06-13,small molecule,experimental
DB03287,2005-06-13,small molecule,experimental
DB03288,2005-06-13,small molecule,experimental
DB03289,2005-06-13,small molecule,experimental
DB03290,2005-06-13,small molecule,experimental
DB03291,2005-06-13,small molecule,experimental
DB03292,2005-06-13,small molecule,experimental
DB03293,2005-06-13,small molecule,experimental
DB03294,2005-06-13,small molecule,experimental
DB03295,2005-06-13,small molecule,experimental
DB03296,2005-06-13,small molecule,experimental
DB03297,2005-06-13,small molecule,experimental
DB03298,2005-06-13,small molecule,experimental
DB03299,2005-06-13,small molecule,experimental
DB03300,2005-06-13,small molecule,experimental
DB03301,2005-06-13,small molecule,experimental
DB03302,2005-06-13,small molecule,experimental
DB03303,2005-06-13,small molecule,experimental
DB03304,2005-06-13,small molecule,experimental
DB03305,2005-06-13,small molecule,experimental
DB03306,2005-06-13,small molecule,experimental
DB03307,2005-06-13,small molecule,experimental
DB03308,2005-06-13,small molecule,experimental
DB03309,2005-06-13,small molecule,experimental
DB03310,2005-06-13,small molecule,approved
DB03311,2005-06-13,small molecule,experimental
DB03312,2005-06-13,small molecule,experimental
DB03313,2005-06-13,small molecule,experimental
DB03314,2005-06-13,small molecule,experimental
DB03315,2005-06-13,small molecule,experimental
DB03316,2005-06-13,small molecule,experimental
DB03317,2005-06-13,small molecule,experimental
DB03318,2005-06-13,small molecule,experimental
DB03319,2005-06-13,small molecule,experimental
DB03320,2005-06-13,small molecule,experimental
DB03321,2005-06-13,small molecule,experimental
DB03322,2005-06-13,small molecule,experimental
DB03323,2005-06-13,small molecule,investigational
DB03325,2005-06-13,small molecule,experimental
DB03326,2005-06-13,small molecule,experimental
DB03327,2005-06-13,small molecule,experimental
DB03328,2005-06-13,small molecule,experimental
DB03329,2005-06-13,small molecule,experimental
DB03330,2005-06-13,small molecule,experimental
DB03331,2005-06-13,small molecule,experimental
DB03332,2005-06-13,small molecule,experimental
DB03333,2005-06-13,small molecule,experimental
DB03335,2005-06-13,small molecule,experimental
DB03336,2005-06-13,small molecule,experimental
DB03337,2005-06-13,small molecule,experimental
DB03338,2005-06-13,small molecule,experimental
DB03339,2005-06-13,small molecule,experimental
DB03340,2005-06-13,small molecule,experimental
DB03341,2005-06-13,small molecule,experimental
DB03342,2005-06-13,small molecule,experimental
DB03343,2005-06-13,small molecule,experimental
DB03344,2005-06-13,small molecule,experimental
DB03345,2005-06-13,small molecule,experimental
DB03346,2005-06-13,small molecule,experimental
DB03347,2005-06-13,small molecule,experimental
DB03348,2005-06-13,small molecule,investigational
DB03349,2005-06-13,small molecule,experimental
DB03350,2005-06-13,small molecule,experimental
DB03351,2005-06-13,small molecule,experimental
DB03352,2005-06-13,small molecule,experimental
DB03353,2005-06-13,small molecule,investigational
DB03354,2005-06-13,small molecule,experimental
DB03355,2005-06-13,small molecule,experimental
DB03357,2005-06-13,small molecule,experimental
DB03358,2005-06-13,small molecule,experimental
DB03359,2005-06-13,small molecule,experimental
DB03360,2005-06-13,small molecule,experimental
DB03361,2005-06-13,small molecule,experimental
DB03362,2005-06-13,small molecule,experimental
DB03363,2005-06-13,small molecule,experimental
DB03364,2005-06-13,small molecule,experimental
DB03365,2005-06-13,small molecule,experimental
DB03366,2005-06-13,small molecule,investigational
DB03367,2005-06-13,small molecule,experimental
DB03368,2005-06-13,small molecule,experimental
DB03369,2005-06-13,small molecule,experimental
DB03370,2005-06-13,small molecule,experimental
DB03371,2005-06-13,small molecule,experimental
DB03372,2005-06-13,small molecule,experimental
DB03373,2005-06-13,small molecule,experimental
DB03374,2005-06-13,small molecule,experimental
DB03376,2005-06-13,small molecule,experimental
DB03378,2005-06-13,small molecule,experimental
DB03379,2005-06-13,small molecule,experimental
DB03380,2005-06-13,small molecule,experimental
DB03381,2005-06-13,small molecule,experimental
DB03382,2005-06-13,small molecule,experimental
DB03383,2005-06-13,small molecule,experimental
DB03384,2005-06-13,small molecule,experimental
DB03385,2005-06-13,small molecule,experimental
DB03386,2005-06-13,small molecule,experimental
DB03387,2005-06-13,small molecule,experimental
DB03388,2005-06-13,small molecule,experimental
DB03389,2005-06-13,small molecule,experimental
DB03390,2005-06-13,small molecule,experimental
DB03391,2005-06-13,small molecule,experimental
DB03392,2005-06-13,small molecule,experimental
DB03393,2005-06-13,small molecule,experimental
DB03395,2005-06-13,small molecule,experimental
DB03396,2005-06-13,small molecule,experimental
DB03397,2005-06-13,small molecule,experimental
DB03399,2005-06-13,small molecule,experimental
DB03400,2005-06-13,small molecule,experimental
DB03401,2005-06-13,small molecule,experimental
DB03402,2005-06-13,small molecule,experimental
DB03403,2005-06-13,small molecule,experimental
DB03404,2005-06-13,biotech,approved
DB03405,2005-06-13,small molecule,experimental
DB03406,2005-06-13,small molecule,experimental
DB03407,2005-06-13,small molecule,experimental
DB03408,2005-06-13,small molecule,experimental
DB03409,2005-06-13,small molecule,experimental
DB03410,2005-06-13,small molecule,experimental
DB03411,2005-06-13,small molecule,experimental
DB03412,2005-06-13,small molecule,experimental
DB03413,2005-06-13,small molecule,experimental
DB03414,2005-06-13,small molecule,experimental
DB03415,2005-06-13,small molecule,experimental
DB03416,2005-06-13,small molecule,experimental
DB03417,2005-06-13,small molecule,experimental
DB03418,2005-06-13,small molecule,experimental
DB03419,2005-06-13,small molecule,investigational
DB03420,2005-06-13,small molecule,experimental
DB03421,2005-06-13,small molecule,experimental
DB03422,2005-06-13,small molecule,experimental
DB03423,2005-06-13,small molecule,experimental
DB03424,2005-06-13,small molecule,investigational
DB03425,2005-06-13,small molecule,experimental
DB03426,2005-06-13,small molecule,experimental
DB03427,2005-06-13,small molecule,experimental
DB03428,2005-06-13,small molecule,experimental
DB03429,2005-06-13,small molecule,experimental
DB03430,2005-06-13,small molecule,experimental
DB03432,2005-06-13,small molecule,experimental
DB03433,2005-06-13,small molecule,experimental
DB03434,2005-06-13,small molecule,experimental
DB03435,2005-06-13,small molecule,experimental
DB03436,2005-06-13,small molecule,experimental
DB03437,2005-06-13,small molecule,experimental
DB03438,2005-06-13,small molecule,experimental
DB03439,2005-06-13,small molecule,experimental
DB03440,2005-06-13,small molecule,experimental
DB03441,2005-06-13,small molecule,experimental
DB03442,2005-06-13,small molecule,experimental
DB03443,2005-06-13,small molecule,experimental
DB03444,2005-06-13,small molecule,experimental
DB03445,2005-06-13,small molecule,experimental
DB03446,2005-06-13,small molecule,experimental
DB03447,2005-06-13,small molecule,experimental
DB03448,2005-06-13,small molecule,experimental
DB03449,2005-06-13,small molecule,experimental
DB03450,2005-06-13,small molecule,experimental
DB03451,2005-06-13,small molecule,experimental
DB03452,2005-06-13,small molecule,experimental
DB03453,2005-06-13,small molecule,experimental
DB03454,2005-06-13,small molecule,experimental
DB03455,2005-06-13,small molecule,experimental
DB03456,2005-06-13,small molecule,experimental
DB03458,2005-06-13,small molecule,experimental
DB03459,2005-06-13,small molecule,experimental
DB03460,2005-06-13,small molecule,experimental
DB03461,2005-06-13,small molecule,experimental
DB03462,2005-06-13,small molecule,experimental
DB03464,2005-06-13,small molecule,experimental
DB03466,2005-06-13,small molecule,experimental
DB03467,2005-06-13,small molecule,experimental
DB03468,2005-06-13,small molecule,experimental
DB03469,2005-06-13,small molecule,experimental
DB03470,2005-06-13,small molecule,experimental
DB03471,2005-06-13,small molecule,experimental
DB03472,2005-06-13,small molecule,experimental
DB03473,2005-06-13,small molecule,experimental
DB03474,2005-06-13,small molecule,experimental
DB03475,2005-06-13,small molecule,experimental
DB03476,2005-06-13,small molecule,experimental
DB03477,2005-06-13,small molecule,experimental
DB03478,2005-06-13,small molecule,experimental
DB03479,2005-06-13,small molecule,experimental
DB03480,2005-06-13,small molecule,experimental
DB03481,2005-06-13,small molecule,experimental
DB03482,2005-06-13,small molecule,experimental
DB03483,2005-06-13,small molecule,experimental
DB03484,2005-06-13,small molecule,experimental
DB03485,2005-06-13,small molecule,experimental
DB03486,2005-06-13,small molecule,experimental
DB03487,2005-06-13,small molecule,experimental
DB03488,2005-06-13,small molecule,experimental
DB03489,2005-06-13,small molecule,experimental
DB03490,2005-06-13,small molecule,experimental
DB03491,2005-06-13,small molecule,experimental
DB03492,2005-06-13,small molecule,experimental
DB03493,2005-06-13,small molecule,experimental
DB03495,2005-06-13,small molecule,experimental
DB03496,2005-06-13,small molecule,investigational
DB03497,2005-06-13,small molecule,experimental
DB03498,2005-06-13,small molecule,experimental
DB03499,2005-06-13,small molecule,experimental
DB03500,2005-06-13,small molecule,experimental
DB03501,2005-06-13,small molecule,experimental
DB03502,2005-06-13,small molecule,experimental
DB03503,2005-06-13,small molecule,experimental
DB03504,2005-06-13,small molecule,experimental
DB03505,2005-06-13,small molecule,experimental
DB03506,2005-06-13,small molecule,experimental
DB03507,2005-06-13,small molecule,experimental
DB03508,2005-06-13,small molecule,experimental
DB03509,2005-06-13,small molecule,experimental
DB03510,2005-06-13,small molecule,experimental
DB03511,2005-06-13,small molecule,experimental
DB03512,2005-06-13,small molecule,experimental
DB03513,2005-06-13,small molecule,experimental
DB03514,2005-06-13,small molecule,experimental
DB03515,2005-06-13,small molecule,experimental
DB03516,2005-06-13,small molecule,investigational
DB03517,2005-06-13,small molecule,experimental
DB03518,2005-06-13,small molecule,experimental
DB03520,2005-06-13,small molecule,experimental
DB03522,2005-06-13,small molecule,experimental
DB03523,2005-06-13,small molecule,experimental
DB03524,2005-06-13,small molecule,experimental
DB03525,2005-06-13,small molecule,experimental
DB03526,2005-06-13,small molecule,experimental
DB03528,2005-06-13,small molecule,experimental
DB03530,2005-06-13,small molecule,experimental
DB03531,2005-06-13,small molecule,experimental
DB03532,2005-06-13,small molecule,experimental
DB03533,2005-06-13,small molecule,experimental
DB03534,2005-06-13,small molecule,experimental
DB03535,2005-06-13,small molecule,experimental
DB03536,2005-06-13,small molecule,experimental
DB03537,2005-06-13,small molecule,experimental
DB03539,2005-06-13,small molecule,experimental
DB03540,2005-06-13,small molecule,experimental
DB03541,2005-06-13,small molecule,experimental
DB03542,2005-06-13,small molecule,experimental
DB03543,2005-06-13,small molecule,experimental
DB03544,2005-06-13,small molecule,experimental
DB03546,2005-06-13,small molecule,experimental
DB03548,2005-06-13,small molecule,experimental
DB03549,2005-06-13,small molecule,experimental
DB03550,2005-06-13,small molecule,experimental
DB03551,2005-06-13,small molecule,experimental
DB03552,2005-06-13,small molecule,experimental
DB03553,2005-06-13,small molecule,experimental
DB03554,2005-06-13,small molecule,experimental
DB03555,2005-06-13,small molecule,experimental
DB03556,2005-06-13,small molecule,experimental
DB03557,2005-06-13,small molecule,experimental
DB03558,2005-06-13,small molecule,experimental
DB03559,2005-06-13,small molecule,experimental
DB03560,2005-06-13,small molecule,experimental
DB03562,2005-06-13,small molecule,experimental
DB03564,2005-06-13,small molecule,experimental
DB03565,2005-06-13,small molecule,experimental
DB03566,2005-06-13,small molecule,experimental
DB03567,2005-06-13,small molecule,investigational
DB03568,2005-06-13,small molecule,investigational
DB03569,2005-06-13,small molecule,experimental
DB03570,2005-06-13,small molecule,experimental
DB03571,2005-06-13,small molecule,experimental
DB03572,2005-06-13,small molecule,experimental
DB03573,2005-06-13,small molecule,experimental
DB03574,2005-06-13,small molecule,experimental
DB03575,2005-06-13,small molecule,other
DB03576,2005-06-13,small molecule,experimental
DB03577,2005-06-13,small molecule,experimental
DB03578,2005-06-13,small molecule,experimental
DB03581,2005-06-13,small molecule,experimental
DB03582,2005-06-13,small molecule,experimental
DB03583,2005-06-13,small molecule,experimental
DB03584,2005-06-13,small molecule,experimental
DB03585,2005-06-13,small molecule,withdrawn
DB03586,2005-06-13,small molecule,experimental
DB03587,2005-06-13,small molecule,experimental
DB03588,2005-06-13,small molecule,experimental
DB03589,2005-06-13,small molecule,experimental
DB03590,2005-06-13,small molecule,experimental
DB03591,2005-06-13,small molecule,experimental
DB03592,2005-06-13,small molecule,experimental
DB03593,2005-06-13,small molecule,experimental
DB03594,2005-06-13,small molecule,experimental
DB03595,2005-06-13,small molecule,experimental
DB03596,2005-06-13,small molecule,experimental
DB03597,2005-06-13,small molecule,experimental
DB03598,2005-06-13,small molecule,experimental
DB03600,2005-06-13,small molecule,experimental
DB03601,2005-06-13,small molecule,experimental
DB03602,2005-06-13,small molecule,experimental
DB03603,2005-06-13,small molecule,experimental
DB03604,2005-06-13,small molecule,investigational
DB03605,2005-06-13,small molecule,experimental
DB03606,2005-06-13,small molecule,experimental
DB03607,2005-06-13,small molecule,experimental
DB03608,2005-06-13,small molecule,experimental
DB03609,2005-06-13,small molecule,experimental
DB03610,2005-06-13,small molecule,experimental
DB03611,2005-06-13,small molecule,experimental
DB03612,2005-06-13,small molecule,experimental
DB03613,2005-06-13,small molecule,experimental
DB03614,2005-06-13,small molecule,approved
DB03615,2005-06-13,small molecule,approved
DB03616,2005-06-13,small molecule,experimental
DB03617,2005-06-13,small molecule,experimental
DB03618,2005-06-13,small molecule,experimental
DB03619,2005-06-13,small molecule,approved
DB03621,2005-06-13,small molecule,experimental
DB03622,2005-06-13,small molecule,experimental
DB03623,2005-06-13,small molecule,experimental
DB03624,2005-06-13,small molecule,experimental
DB03626,2005-06-13,small molecule,experimental
DB03627,2005-06-13,small molecule,experimental
DB03628,2005-06-13,small molecule,experimental
DB03629,2005-06-13,small molecule,experimental
DB03630,2005-06-13,small molecule,experimental
DB03631,2005-06-13,small molecule,experimental
DB03632,2005-06-13,small molecule,experimental
DB03633,2005-06-13,small molecule,experimental
DB03634,2005-06-13,small molecule,experimental
DB03635,2005-06-13,small molecule,experimental
DB03636,2005-06-13,small molecule,experimental
DB03637,2005-06-13,small molecule,experimental
DB03638,2005-06-13,small molecule,experimental
DB03639,2005-06-13,small molecule,experimental
DB03640,2005-06-13,small molecule,experimental
DB03641,2005-06-13,small molecule,experimental
DB03642,2005-06-13,small molecule,experimental
DB03643,2005-06-13,small molecule,experimental
DB03644,2005-06-13,small molecule,experimental
DB03645,2005-06-13,small molecule,experimental
DB03646,2005-06-13,small molecule,experimental
DB03647,2005-06-13,small molecule,experimental
DB03648,2005-06-13,small molecule,experimental
DB03649,2005-06-13,small molecule,experimental
DB03650,2005-06-13,small molecule,experimental
DB03651,2005-06-13,small molecule,approved
DB03652,2005-06-13,small molecule,experimental
DB03653,2005-06-13,small molecule,experimental
DB03654,2005-06-13,small molecule,experimental
DB03656,2005-06-13,small molecule,experimental
DB03657,2005-06-13,small molecule,experimental
DB03658,2005-06-13,small molecule,experimental
DB03659,2005-06-13,small molecule,experimental
DB03660,2005-06-13,small molecule,experimental
DB03661,2005-06-13,small molecule,experimental
DB03662,2005-06-13,small molecule,experimental
DB03663,2005-06-13,small molecule,experimental
DB03664,2005-06-13,small molecule,experimental
DB03666,2005-06-13,small molecule,experimental
DB03667,2005-06-13,small molecule,experimental
DB03668,2005-06-13,small molecule,experimental
DB03669,2005-06-13,small molecule,experimental
DB03670,2005-06-13,small molecule,experimental
DB03671,2005-06-13,small molecule,experimental
DB03672,2005-06-13,small molecule,experimental
DB03673,2005-06-13,small molecule,experimental
DB03675,2005-06-13,small molecule,experimental
DB03676,2005-06-13,small molecule,experimental
DB03677,2005-06-13,small molecule,experimental
DB03678,2005-06-13,small molecule,experimental
DB03679,2005-06-13,small molecule,experimental
DB03680,2005-06-13,small molecule,experimental
DB03682,2005-06-13,small molecule,experimental
DB03683,2005-06-13,small molecule,experimental
DB03685,2005-06-13,small molecule,experimental
DB03686,2005-06-13,small molecule,experimental
DB03687,2005-06-13,small molecule,experimental
DB03688,2005-06-13,small molecule,experimental
DB03690,2005-06-13,small molecule,experimental
DB03691,2005-06-13,small molecule,experimental
DB03692,2005-06-13,small molecule,experimental
DB03693,2005-06-13,small molecule,experimental
DB03694,2005-06-13,small molecule,experimental
DB03695,2005-06-13,small molecule,investigational
DB03696,2005-06-13,small molecule,experimental
DB03697,2005-06-13,small molecule,experimental
DB03698,2005-06-13,small molecule,experimental
DB03699,2005-06-13,small molecule,experimental
DB03700,2005-06-13,small molecule,experimental
DB03701,2005-06-13,small molecule,investigational
DB03702,2005-06-13,small molecule,experimental
DB03703,2005-06-13,small molecule,experimental
DB03704,2005-06-13,small molecule,experimental
DB03705,2005-06-13,small molecule,experimental
DB03706,2005-06-13,small molecule,experimental
DB03707,2005-06-13,small molecule,experimental
DB03708,2005-06-13,small molecule,investigational
DB03709,2005-06-13,small molecule,experimental
DB03710,2005-06-13,small molecule,experimental
DB03711,2005-06-13,small molecule,experimental
DB03712,2005-06-13,small molecule,experimental
DB03714,2005-06-13,small molecule,experimental
DB03716,2005-06-13,small molecule,experimental
DB03717,2005-06-13,small molecule,experimental
DB03718,2005-06-13,small molecule,experimental
DB03719,2005-06-13,small molecule,experimental
DB03720,2005-06-13,small molecule,experimental
DB03721,2005-06-13,small molecule,experimental
DB03722,2005-06-13,small molecule,experimental
DB03723,2005-06-13,small molecule,experimental
DB03724,2005-06-13,small molecule,experimental
DB03725,2005-06-13,small molecule,experimental
DB03726,2005-06-13,small molecule,experimental
DB03727,2005-06-13,small molecule,experimental
DB03728,2005-06-13,small molecule,experimental
DB03729,2005-06-13,small molecule,experimental
DB03730,2005-06-13,small molecule,experimental
DB03731,2005-06-13,small molecule,experimental
DB03732,2005-06-13,small molecule,experimental
DB03733,2005-06-13,small molecule,experimental
DB03734,2005-06-13,small molecule,experimental
DB03735,2005-06-13,small molecule,experimental
DB03736,2005-06-13,small molecule,experimental
DB03737,2005-06-13,small molecule,experimental
DB03738,2005-06-13,small molecule,experimental
DB03739,2005-06-13,small molecule,experimental
DB03740,2005-06-13,small molecule,experimental
DB03741,2005-06-13,small molecule,experimental
DB03742,2005-06-13,small molecule,experimental
DB03744,2005-06-13,small molecule,experimental
DB03745,2005-06-13,small molecule,experimental
DB03746,2005-06-13,small molecule,experimental
DB03747,2005-06-13,small molecule,experimental
DB03748,2005-06-13,small molecule,experimental
DB03749,2005-06-13,small molecule,experimental
DB03750,2005-06-13,small molecule,experimental
DB03751,2005-06-13,small molecule,experimental
DB03752,2005-06-13,small molecule,experimental
DB03753,2005-06-13,small molecule,experimental
DB03754,2005-06-13,small molecule,approved
DB03755,2005-06-13,small molecule,experimental
DB03756,2005-06-13,small molecule,approved
DB03757,2005-06-13,small molecule,experimental
DB03758,2005-06-13,small molecule,experimental
DB03759,2005-06-13,small molecule,experimental
DB03760,2005-06-13,small molecule,experimental
DB03761,2005-06-13,small molecule,experimental
DB03763,2005-06-13,small molecule,experimental
DB03764,2005-06-13,small molecule,experimental
DB03765,2005-06-13,small molecule,experimental
DB03766,2005-06-13,small molecule,approved
DB03767,2005-06-13,small molecule,experimental
DB03768,2005-06-13,small molecule,experimental
DB03769,2005-06-13,small molecule,experimental
DB03770,2005-06-13,small molecule,experimental
DB03771,2005-06-13,small molecule,experimental
DB03772,2005-06-13,small molecule,experimental
DB03773,2005-06-13,small molecule,experimental
DB03774,2005-06-13,small molecule,experimental
DB03775,2005-06-13,small molecule,experimental
DB03776,2005-06-13,small molecule,experimental
DB03777,2005-06-13,small molecule,experimental
DB03779,2005-06-13,small molecule,experimental
DB03780,2005-06-13,small molecule,experimental
DB03781,2005-06-13,small molecule,experimental
DB03782,2005-06-13,small molecule,experimental
DB03783,2005-06-13,small molecule,withdrawn
DB03784,2005-06-13,small molecule,experimental
DB03785,2005-06-13,small molecule,experimental
DB03787,2005-06-13,small molecule,experimental
DB03788,2005-06-13,small molecule,experimental
DB03789,2005-06-13,small molecule,experimental
DB03790,2005-06-13,small molecule,experimental
DB03791,2005-06-13,small molecule,experimental
DB03792,2005-06-13,small molecule,experimental
DB03793,2005-06-13,small molecule,approved
DB03794,2005-06-13,small molecule,experimental
DB03795,2005-06-13,small molecule,experimental
DB03796,2005-06-13,small molecule,approved
DB03797,2005-06-13,small molecule,experimental
DB03798,2005-06-13,small molecule,experimental
DB03799,2005-06-13,small molecule,experimental
DB03800,2005-06-13,small molecule,experimental
DB03801,2005-06-13,small molecule,experimental
DB03802,2005-06-13,small molecule,experimental
DB03803,2005-06-13,small molecule,experimental
DB03804,2005-06-13,small molecule,experimental
DB03807,2005-06-13,small molecule,experimental
DB03808,2005-06-13,small molecule,experimental
DB03809,2005-06-13,small molecule,experimental
DB03810,2005-06-13,small molecule,experimental
DB03811,2005-06-13,small molecule,experimental
DB03812,2005-06-13,small molecule,experimental
DB03813,2005-06-13,small molecule,experimental
DB03814,2005-06-13,small molecule,experimental
DB03815,2005-06-13,small molecule,experimental
DB03816,2005-06-13,small molecule,experimental
DB03817,2005-06-13,small molecule,experimental
DB03818,2005-06-13,small molecule,experimental
DB03819,2005-06-13,small molecule,experimental
DB03820,2005-06-13,small molecule,experimental
DB03821,2005-06-13,small molecule,experimental
DB03822,2005-06-13,small molecule,experimental
DB03823,2005-06-13,small molecule,investigational
DB03824,2005-06-13,small molecule,experimental
DB03825,2005-06-13,small molecule,experimental
DB03826,2005-06-13,small molecule,experimental
DB03827,2005-06-13,small molecule,experimental
DB03828,2005-06-13,small molecule,experimental
DB03829,2005-06-13,small molecule,experimental
DB03830,2005-06-13,small molecule,experimental
DB03831,2005-06-13,small molecule,experimental
DB03832,2005-06-13,small molecule,experimental
DB03833,2005-06-13,small molecule,experimental
DB03834,2005-06-13,small molecule,experimental
DB03835,2005-06-13,small molecule,experimental
DB03836,2005-06-13,small molecule,experimental
DB03837,2005-06-13,small molecule,experimental
DB03839,2005-06-13,small molecule,experimental
DB03840,2005-06-13,small molecule,experimental
DB03841,2005-06-13,small molecule,experimental
DB03842,2005-06-13,small molecule,experimental
DB03843,2005-06-13,small molecule,approved
DB03844,2005-06-13,small molecule,experimental
DB03845,2005-06-13,small molecule,experimental
DB03846,2005-06-13,small molecule,experimental
DB03847,2005-06-13,small molecule,experimental
DB03848,2005-06-13,small molecule,experimental
DB03849,2005-06-13,small molecule,investigational
DB03850,2005-06-13,small molecule,experimental
DB03851,2005-06-13,small molecule,experimental
DB03852,2005-06-13,small molecule,approved
DB03853,2005-06-13,small molecule,experimental
DB03854,2005-06-13,small molecule,experimental
DB03855,2005-06-13,small molecule,experimental
DB03856,2005-06-13,small molecule,investigational
DB03857,2005-06-13,small molecule,experimental
DB03858,2005-06-13,small molecule,experimental
DB03859,2005-06-13,small molecule,experimental
DB03860,2005-06-13,small molecule,experimental
DB03861,2005-06-13,small molecule,experimental
DB03862,2005-06-13,small molecule,experimental
DB03863,2005-06-13,small molecule,experimental
DB03864,2005-06-13,small molecule,experimental
DB03865,2005-06-13,small molecule,experimental
DB03866,2005-06-13,small molecule,experimental
DB03867,2005-06-13,small molecule,experimental
DB03868,2005-06-13,small molecule,experimental
DB03869,2005-06-13,small molecule,experimental
DB03870,2005-06-13,small molecule,experimental
DB03871,2005-06-13,small molecule,experimental
DB03872,2005-06-13,small molecule,experimental
DB03874,2005-06-13,small molecule,experimental
DB03876,2005-06-13,small molecule,experimental
DB03877,2005-06-13,small molecule,experimental
DB03878,2005-06-13,small molecule,experimental
DB03879,2005-06-13,small molecule,experimental
DB03880,2005-06-13,small molecule,experimental
DB03881,2005-06-13,small molecule,experimental
DB03882,2005-06-13,small molecule,experimental
DB03883,2005-06-13,small molecule,experimental
DB03884,2005-06-13,small molecule,experimental
DB03885,2005-06-13,small molecule,experimental
DB03886,2005-06-13,small molecule,experimental
DB03887,2005-06-13,small molecule,experimental
DB03888,2005-06-13,small molecule,experimental
DB03889,2005-06-13,small molecule,experimental
DB03890,2005-06-13,small molecule,experimental
DB03891,2005-06-13,small molecule,experimental
DB03892,2005-06-13,small molecule,experimental
DB03893,2005-06-13,small molecule,experimental
DB03894,2005-06-13,small molecule,experimental
DB03895,2005-06-13,small molecule,experimental
DB03896,2005-06-13,small molecule,experimental
DB03897,2005-06-13,small molecule,experimental
DB03898,2005-06-13,small molecule,experimental
DB03899,2005-06-13,small molecule,experimental
DB03900,2005-06-13,small molecule,experimental
DB03901,2005-06-13,small molecule,experimental
DB03902,2005-06-13,small molecule,experimental
DB03903,2005-06-13,small molecule,experimental
DB03904,2005-06-13,small molecule,approved
DB03905,2005-06-13,small molecule,experimental
DB03906,2005-06-13,small molecule,experimental
DB03907,2005-06-13,small molecule,experimental
DB03908,2005-06-13,small molecule,experimental
DB03909,2005-06-13,small molecule,experimental
DB03910,2005-06-13,small molecule,experimental
DB03911,2005-06-13,small molecule,experimental
DB03912,2005-06-13,small molecule,experimental
DB03913,2005-06-13,small molecule,experimental
DB03914,2005-06-13,small molecule,experimental
DB03915,2005-06-13,small molecule,experimental
DB03916,2005-06-13,small molecule,experimental
DB03917,2005-06-13,small molecule,experimental
DB03918,2005-06-13,small molecule,experimental
DB03919,2005-06-13,small molecule,experimental
DB03920,2005-06-13,small molecule,experimental
DB03921,2005-06-13,small molecule,experimental
DB03923,2005-06-13,small molecule,experimental
DB03924,2005-06-13,small molecule,experimental
DB03925,2005-06-13,small molecule,investigational
DB03926,2005-06-13,small molecule,experimental
DB03927,2005-06-13,small molecule,experimental
DB03928,2005-06-13,small molecule,experimental
DB03929,2005-06-13,small molecule,approved
DB03930,2005-06-13,small molecule,experimental
DB03931,2005-06-13,small molecule,experimental
DB03932,2005-06-13,small molecule,experimental
DB03933,2005-06-13,small molecule,experimental
DB03934,2005-06-13,small molecule,experimental
DB03935,2005-06-13,small molecule,experimental
DB03936,2005-06-13,small molecule,experimental
DB03937,2005-06-13,small molecule,experimental
DB03938,2005-06-13,small molecule,experimental
DB03939,2005-06-13,small molecule,experimental
DB03940,2005-06-13,small molecule,experimental
DB03941,2005-06-13,small molecule,experimental
DB03942,2005-06-13,small molecule,experimental
DB03943,2005-06-13,small molecule,experimental
DB03944,2005-06-13,small molecule,experimental
DB03945,2005-06-13,small molecule,experimental
DB03946,2005-06-13,small molecule,experimental
DB03947,2005-06-13,small molecule,experimental
DB03948,2005-06-13,small molecule,experimental
DB03949,2005-06-13,small molecule,experimental
DB03950,2005-06-13,small molecule,experimental
DB03951,2005-06-13,small molecule,experimental
DB03952,2005-06-13,small molecule,experimental
DB03953,2005-06-13,small molecule,experimental
DB03955,2005-06-13,small molecule,experimental
DB03956,2005-06-13,small molecule,experimental
DB03957,2005-06-13,small molecule,experimental
DB03958,2005-06-13,small molecule,experimental
DB03959,2005-06-13,small molecule,experimental
DB03960,2005-06-13,small molecule,experimental
DB03961,2005-06-13,small molecule,experimental
DB03962,2005-06-13,small molecule,experimental
DB03963,2005-06-13,small molecule,experimental
DB03964,2005-06-13,small molecule,experimental
DB03966,2005-06-13,small molecule,experimental
DB03967,2005-06-13,small molecule,experimental
DB03968,2005-06-13,small molecule,experimental
DB03970,2005-06-13,small molecule,experimental
DB03971,2005-06-13,small molecule,experimental
DB03972,2005-06-13,small molecule,experimental
DB03973,2005-06-13,small molecule,experimental
DB03974,2005-06-13,small molecule,experimental
DB03975,2005-06-13,small molecule,experimental
DB03976,2005-06-13,small molecule,experimental
DB03977,2005-06-13,small molecule,experimental
DB03978,2005-06-13,small molecule,experimental
DB03979,2005-06-13,small molecule,experimental
DB03980,2005-06-13,small molecule,experimental
DB03981,2005-06-13,small molecule,experimental
